lokacija;naziv
1;Gradovi
1;Muzeji
2;Znamenitosti
3;Znamenitosti
3;Jezera
3;Atraktivni kotièki
4;Znamenitosti
5;Kopališèa in terme
6;Znamenitosti
6;Muzeji
7;Atraktivni kotièki
8;Kmetije
9;Kopališèa in terme
10;Znamenitosti
11;Atraktivni kotièki
12;Atraktivni kotièki
13;Atraktivni kotièki
14;Gorovja in hribovja
14;Jezera
15;Gradovi
16;Smuèišèa
16;Gorovja in hribovja
17;Kmetije
17;Atraktivni kotièki
18;Atraktivni kotièki
18;Muzeji
19;Kopališèa in terme
20;Gradovi
20;Znamenitosti
21;Znamenitosti
21;Muzeji
22;Muzeji
22;Jame
23;Gorovja in hribovja
24;Atraktivni kotièki
25;Atraktivni kotièki
26;Jame
26;Muzeji
27;Atraktivni kotièki
28;Atraktivni kotièki
29;Kopališèa in terme
30;Kmetije
31;Gradovi
31;Muzeji
32;Muzeji
32;Gradovi
33;Živalski parki, vrtovi
34;Muzeji
35;Atraktivni kotièki
36;Kopališèa in terme
36;Atraktivni kotièki
37;Muzeji
38;Atraktivni kotièki
39;Kopališèa in terme
40;Muzeji
41;Muzeji
42;Živalski parki, vrtovi
43;Živalski parki, vrtovi
44;Naravne znamenitosti
4;Naravne znamenitosti
14;Naravne znamenitosti
26;Naravne znamenitosti
23;Naravne znamenitosti
45;Naravne znamenitosti
46;Smuèišèa
46;Naravne znamenitosti
46;Gorovja in hribovja
47;Naravne znamenitosti
47;Jame
48;Znamenitosti
49;Naravne znamenitosti
50;Jezera
51;Jezera
52;Gorovja in hribovja
53;Muzeji
54;Naravne znamenitosti
55;Gradovi
56;Naravne znamenitosti
57;Naravne znamenitosti
57;Jezera
57;Kopališèa in terme
61;Smuèišèa
61;Gorovja in hribovja
61;Atraktivni kotièki
60;Naravne znamenitosti
60;Jezera
59;Naravne znamenitosti
62;Jezera
62;Kopališèa in terme
63;Kopališèa in terme
63;Jezera
64;Znamenitosti
64;Muzeji
65;Naravne znamenitosti
66;Naravne znamenitosti
66;Atraktivni kotièki
67;Atraktivni kotièki
68;Muzeji
69;Kmetije
69;Atraktivni kotièki
70;Atraktivni kotièki
71;Muzeji
72;Jame
73;Znamenitosti
74;Znamenitosti
75;Atraktivni kotièki
76;Atraktivni kotièki
77;Kmetije
77;Atraktivni kotièki
78;Kopališèa in terme
78;Jezera
79;Kmetije
80;Kmetije
81;Muzeji
82;Kopališèa in terme
83;Kopališèa in terme
84;Atraktivni kotièki
85;Atraktivni kotièki
86;Gradovi
87;Gorovja in hribovja
88;Atraktivni kotièki
89;Atraktivni kotièki
90;Muzeji
91;Atraktivni kotièki
92;Muzeji
93;Znamenitosti
94;Atraktivni kotièki
95;Muzeji
96;Muzeji
97;Naravne znamenitosti
98;Kopališèa in terme
99;Atraktivni kotièki
100;Muzeji
101;Atraktivni kotièki
102;Atraktivni kotièki
103;Atraktivni kotièki
104;Kopališèa in terme
105;Muzeji
106;Naravne znamenitosti
108;Znamenitosti
109;Znamenitosti
110;Kopališèa in terme
110;Znamenitosti
111;Jezera
111;Naravne znamenitosti
112;Znamenitosti
112;Gradovi
113;Kmetije
114;Naravne znamenitosti
114;Jame
115;Naravne znamenitosti
116;Muzeji
117;Naravne znamenitosti
117;Jame
118;Znamenitosti
118;Gradovi
119;Atraktivni kotièki
